serial	gene_name	short_description	Curator_summary	Computational_description
283	AT3G04210		TN13 is a TIR-NBS protein involved in immune response. It co localizes with the ER and perinuclear membranes and interacts with MOS6. It also associates with the CC-NBS-LRR resistance protein RPS5 and contributes to RPS5-triggered immunity.	Disease resistance protein (TIR-NBS class);(source:Araport11)
284	AT3G04400	Ribosomal protein L14p/L23e family protein	Involved in non-host resistance.	Ribosomal protein L14p/L23e family protein;(source:Araport11)
285	AT3G04710	ankyrin repeat family protein	Encodes one of the 36 carboxylate clamp (CC)-tetratricopeptide repeat (TPR) proteins (Prasad 2010, Pubmed ID: 20856808) with potential to interact with Hsp90/Hsp70 as co-chaperones.	ankyrin repeat family protein;(source:Araport11)
286	AT3G05650	receptor like protein 32		receptor like protein 32;(source:Araport11)
287	AT3G06170	Serinc-domain containing serine and sphingolipid biosynthesis protein		Serinc-domain containing serine and sphingolipid biosynthesis protein;(source:Araport11)
288	AT3G06530			ARM repeat superfamily protein;(source:Araport11)
289	AT3G08870			Concanavalin A-like lectin protein kinase family protein;(source:Araport11)
290	AT3G09450			fusaric acid resistance family protein;(source:Araport11)
291	AT3G10530	Transducin/WD40 repeat-like superfamily protein		Transducin/WD40 repeat-like superfamily protein;(source:Araport11)
292	AT3G11070	Outer membrane OMP85 family protein		Outer membrane OMP85 family protein;(source:Araport11)
293	AT3G11080			receptor like protein 35;(source:Araport11)
294	AT3G11840	plant U-box 24	Encodes a U-box-domain-containing E3 ubiquitin ligase that acts as a negative regulator of PAMP-triggered immunity.	E3 ubiquitin-protein ligase PUB24-like protein;(source:Araport11)
295	AT3G11930	Adenine nucleotide alpha hydrolases-like superfamily protein		Adenine nucleotide alpha hydrolases-like superfamily protein;(source:Araport11)
296	AT3G11964		Encodes a nucleolar protein that is a ribosome biogenesis co-factor. Mutants display aberrant RNA processing and female gametophyte development.	RIBOSOMAL RNA PROCESSING 5;(source:Araport11)
297	AT3G12360		Encodes a protein with an ankyrin motif and transmembrane domains that is involved in salt tolerance. Expressed throughout the plant and localized to the plasma membrane. Loss of function mutations show an increased tolerance to salt based on assaying seedling growth in the presence of salt. In the mutants, induction of genes required for production of reactive oxygen species is reduced suggesting that itn1 promotes ROS production.  It interacts with RCN1 in vivo and may regulate its subcellular localization.The mRNA is cell-to-cell mobile.	Ankyrin repeat family protein;(source:Araport11)
298	AT3G13060			evolutionarily conserved C-terminal region 5;(source:Araport11)
299	AT3G13330	proteasome activating protein 200	Encodes a protein that interacts with the 26S proteasome.  Mutants are phenotypically indistinguishable from wild type plants under a variety of growth conditions.  Protein levels increase upon exposure of seedlings to MG132, a specific, potent, reversible, and cell-permeable proteasome inhibitor.	proteasome activating protein 200;(source:Araport11)
300	AT3G14270		Encodes a protein that is predicted to act as a 1-phosphatidylinositol-3-phosphate (PtdIns3P) 5-kinase based on its homology to Fab1 from yeast. It contains an FYVE domain required for binding to PtdIns3P-containing membranes in yeast, as well as a Cpn60_TCP1 homology domain plus a kinase domain. fab1a/fab1b pollen grains not viable and have defective vacuolar organization. FAB1A and FAB1B complement the enlarged vacuolar phenotype of the fission yeast ste12delta mutant.	phosphatidylinositol-4-phosphate 5-kinase family protein;(source:Araport11)
301	AT3G14460	LRR and NB-ARC domains-containing disease resistance protein	Leucine rich repeat protein that also contains an adenylate cyclase catalytic core motif. Capable of converting ATP to cAMP in vitro. Mutants show increased susceptibility to fungal pathogens.	LRR and NB-ARC domains-containing disease resistance protein;(source:Araport11)
302	AT3G14470			NB-ARC domain-containing disease resistance protein;(source:Araport11)
303	AT3G14620	cytochrome P450, family 72, subfamily A, polypeptide 8	putative cytochrome P450 The mRNA is cell-to-cell mobile.	cytochrome P450, family 72, subfamily A, polypeptide 8;(source:Araport11)
304	AT3G15120		Encodes BRP1, an ATPase domain-containing protein that interacts with BRAT1 to negatively regulate transcriptional silencing at methylated genomic regions.	P-loop containing nucleoside triphosphate hydrolases superfamily protein;(source:Araport11)
305	AT3G15590			Tetratricopeptide repeat (TPR)-like superfamily protein;(source:Araport11)
306	AT3G15680			Ran BP2/NZF zinc finger-like superfamily protein;(source:Araport11)
307	AT3G16240	delta tonoplast integral protein	Delta tonoplast intrinsic protein, functions as a water channel and ammonium (NH3) transporter. Highly expressed in flower, shoot, and stem. Expression shows diurnal regulation and is induced by ammonium (NH3). Protein localized to vacuolar membrane. The mRNA is cell-to-cell mobile.	delta tonoplast integral protein;(source:Araport11)
308	AT3G16460	Mannose-binding lectin superfamily protein	Mannose-binding protein	Mannose-binding lectin superfamily protein;(source:Araport11)
309	AT3G16670	Pollen Ole e 1 allergen and extensin family protein		Pollen Ole e 1 allergen and extensin family protein;(source:Araport11)
310	AT3G16840			P-loop containing nucleoside triphosphate hydrolases superfamily protein;(source:Araport11)
311	AT3G16857		Encodes an Arabidopsis response regulator (ARR) protein that acts in concert with other type-B ARRs in the cytokinin signaling pathway. Also involved in cytokinin-dependent inhibition of hypocotyl elongation and cytokinin-dependent greening and shooting in tissue culture. ARR1, ARR10, and ARR12 are redundant regulators of drought response, with ARR1 being the most critical. ARR1, ARR10 and ARR12 redundantly bind to the promoter of WUSCHEL (WUS), directly activate its transcription. In parallel, ARR1, ARR10 and ARR12 repress the expression of YUCCAs (YUCs), which encode a key enzyme for auxin biosynthesis, indirectly promoting WUS induction. The regulation of ARR1, ARR10 and ARR12 on WUS and YUCs is required for regeneration and maintenance of shoot meristem.	response regulator 1;(source:Araport11)
312	AT3G16940		Calmodulin binding transcription factor. Mutants display increased salt tolerance during early germination. Involved in regulation of salt stress responsive genes.	calmodulin-binding transcription activator;(source:Araport11)
313	AT3G17205	ubiquitin protein ligase 6		ubiquitin protein ligase 6;(source:Araport11)
314	AT3G18524	MUTS homolog 2	Encodes a DNA mismatch repair homolog of human MutS gene, MSH6. MSH2 is involved in maintaining genome stability and repressing recombination of mismatched heteroduplexes.There are four MutS genes in Arabidopsis, MSH2, MSH3, MSH6, and MSH7, which all act as heterodimers and bind to 51-mer duplexes. MSH2 has different binding specificity to different mismatches in combination with MSH3, MSH6, or MSH7.	MUTS homolog 2;(source:Araport11)
315	AT3G19190		Encodes autophagy-related 2 (ATG2).The mRNA is cell-to-cell mobile. Autophagy controls guard cell ROS homeostasis  by eliminating oxidized peroxisomes, thereby allowing stomatal  opening.	autophagy 2;(source:Araport11)
316	AT3G19710	branched-chain aminotransferase4	Belongs to the branched-chain amino acid aminotransferase gene family. Encodes a methionine-oxo-acid transaminase. Involved in the methionine chain elongation pathway that leads to the ultimate biosynthesis of methionine-derived glucosinolates.	branched-chain aminotransferase4;(source:Araport11)
317	AT3G19930		Encodes a sucrose hydrogen symporter that is induced by wounding.The mRNA is cell-to-cell mobile.	sugar transporter 4;(source:Araport11)
318	AT3G20080			cytochrome P450, family 705, subfamily A, polypeptide 15;(source:Araport11)
319	AT3G20440	Alpha amylase family protein	Encodes BE1, a putative glycoside hydrolase. Involved in organogenesis and somatic embryogenesis by regulating carbohydrate metabolism. Mutation in BE1 has pleotrophic effect on the whole plant development.	Alpha amylase family protein;(source:Araport11)
320	AT3G20470	glycine-rich protein 5	encodes a glycine-rich protein that is expressed more abundantly in immature seed pods than in stems and leaves. Expression is not detected in roots or flowers.	glycine-rich protein 5;(source:Araport11)
321	AT3G20540	polymerase gamma 1	Encodes an organellar DNA polymerase I that is also involved in double strand break repair.	polymerase gamma 1;(source:Araport11)
322	AT3G21250		member of MRP subfamily	multidrug resistance-associated protein 6;(source:Araport11)
323	AT3G21460	Glutaredoxin family protein	Encodes a member of the CC-type glutaredoxin (ROXY) family that has been shown to interact with the transcription factor TGA2 and suppress ORA59 promoter activity.	Glutaredoxin family protein;(source:Araport11)
324	AT3G21560	UDP-Glycosyltransferase superfamily protein	Encodes a protein with sinapic acid:UDP-glucose glucosyltransferase activity. Mutants defective in this gene are hyper-fluorescent (which accumulate in their trichomes a compound that is likely to be 3',5'-dimethoxynaringenin chalcone or sinapoyltriacetic acid lactone, potential products of the concerted action of 4-coumarate CoA ligase and chalcone synthase  on sinapic acid). Also shown to be required for Arabidopsis nonhost resistance to the Asian soybean rust pathogen Phakopsora pachyrhizi.	UDP-Glycosyltransferase superfamily protein;(source:Araport11)
325	AT3G22142	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein	Encodes a Protease inhibitor/seed storage/LTP family protein	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein;(source:Araport11)
326	AT3G22231	pathogen and circadian controlled 1	Encodes a member of a novel 6 member Arabidopsis gene family.  Expression of PCC1 is regulated by the circadian clock and is upregulated in response to both virulent and avirulent strains of Pseudomonas syringae pv. tomato.	pathogen and circadian controlled 1;(source:Araport11)
327	AT3G22235			cysteine-rich TM module stress tolerance protein;(source:Araport11)
328	AT3G22380		Encodes a nucleus-acting plant-specific clock regulator working close to the central oscillator and affecting the circadian gating of light responses.  Circadian gating is the alteration of circadian phase according to the photoperiod of the entraining day/light cycle and the rhythmic antagonism of light responses in the early subjective night.  TIC differentially regulates CCA1 and PRR9 from LHY, with LHY expression as a dominant genetic target of TIC action. Also shown to be invoved in the maintenance of Arabidopsis thaliana metabolic homeostasis.	time for coffee;(source:Araport11)
329	AT3G23120	receptor like protein 38		receptor like protein 38;(source:Araport11)
330	AT3G23370			RNA-binding (RRM/RBD/RNP motifs) family protein;(source:Araport11)
331	AT3G23640			heteroglycan glucosidase 1;(source:Araport11)
332	AT3G23780	nuclear RNA polymerase D2A	This gene encodes the second largest, catalytic subunit of the nuclear DNA-dependent RNA polymerase IV (aka RNA polymerase D). The NRPD2 protein is found at nuclear foci that overlap or are adjacent to chromocentromeres but are not fully coincident with chromocentromeres. The loss of NRPD2 leads to the loss of cytosine methylation at pericentromeric 5S genes and AtSN1 retroelements but has no discernible effect on centromere repeat methylation. This suggests that Pol IV primarily affects facultative heterochromatin rather than constitutive heterochromatin.	nuclear RNA polymerase D2A;(source:Araport11)
333	AT3G24870			Helicase/SANT-associated, DNA binding protein;(source:Araport11)
334	AT3G25020	receptor like protein 42		receptor like protein 42;(source:Araport11)
335	AT3G25180	cytochrome P450, family 82, subfamily G, polypeptide 1	Encodes a cytochrome P450 monooxygenase (CYP82G1) that catalyzes the production of two volatile homoterpenes, TMTT and DMNT, although it is only likely to produce TMTT in planta. TMTT can be involved in attracting predatory insects to protect Arabidopsis plants from herbivorous pests. Homoterpene synthesis is also stimulated by fungal elicitors which increase the transcript levels of CYP82G1.	cytochrome P450, family 82, subfamily G, polypeptide 1;(source:Araport11)
336	AT3G25610	ATPase E1-E2 type family protein / haloacid dehalogenase-like hydrolase family protein	Encodes aminophospholipid ATPase10 (ALA10), a P4-type ATPase flippase that internalizes exogenous phospholipids across the plasma membrane.	ATPase E1-E2 type family protein / haloacid dehalogenase-like hydrolase family protein;(source:Araport11)
337	AT3G26170	cytochrome P450, family 71, subfamily B, polypeptide 19	putative cytochrome P450	cytochrome P450, family 71, subfamily B, polypeptide 19;(source:Araport11)
338	AT3G26200	cytochrome P450, family 71, subfamily B, polypeptide 22	putative cytochrome P450 The mRNA is cell-to-cell mobile.	cytochrome P450, family 71, subfamily B, polypeptide 22;(source:Araport11)
339	AT3G26220	cytochrome P450, family 71, subfamily B, polypeptide 3	cytochrome P450 monooxygenase	cytochrome P450, family 71, subfamily B, polypeptide 3;(source:Araport11)
340	AT3G26520	tonoplast intrinsic protein 2	gamma tonoplast intrinsic protein 2 (TIP2). expressed throughout the plant and transcript level is increased upon NaCl or ABA treatments. NaCl stress-sensitive yeast mutant strains exhibit more resistance to salt when expressing this protein.	tonoplast intrinsic protein 2;(source:Araport11)
341	AT3G26830	Cytochrome P450 superfamily protein	Mutations in pad3 are defective in biosynthesis of the indole derived phytoalexin camalexin. Encodes a cytochrome P450 enzyme that catalyzes the conversion of dihydrocamalexic acid to camalexin. The mRNA is cell-to-cell mobile.	Cytochrome P450 superfamily protein;(source:Araport11)
342	AT3G27180	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein		S-adenosyl-L-methionine-dependent methyltransferases superfamily protein;(source:Araport11)
343	AT3G27670	ARM repeat superfamily protein	A novel protein, did not show high similarity to any protein of known function; reveals a novel genetic connection between lipid synthesis and embryo development. Expressed in all tissues examined including leaves, flowers, roots, stems, and siliques, but accumulation levels were not correlated with the degree to which different organs appeared affected by the mutation. Mutant plants showed alterations in the cuticular wax profiles and embryo development. The mRNA is cell-to-cell mobile.	ARM repeat superfamily protein;(source:Araport11)
344	AT3G27870			ATPase E1-E2 type family protein / haloacid dehalogenase-like hydrolase family protein;(source:Araport11)
345	AT3G28940	AIG2-like (avirulence induced gene) family protein		AIG2-like (avirulence induced gene) family protein;(source:Araport11)
346	AT3G29590	HXXXD-type acyl-transferase family protein	At3g29590 (At5MAT) encodes a malonyl-CoA:anthocyanidin 5-O-glucoside-6"-O-malonyltransferase that is coordinately expressed with a epistatic 5-O-anthocyanidin glucosyltransferase (At4g14090). The enzyme is involved in the malonylation of anthocyanins in Arabidopsis.	HXXXD-type acyl-transferase family protein;(source:Araport11)
347	AT3G30180	brassinosteroid-6-oxidase 2	Encodes a cytochrome p450 enzyme that catalyzes the last reaction in the production of brassinolide.  It is capable of converting 6-deoxocastasterone into castasterone, a C-6 oxidation, as well as the further conversion of castasterone into brassinolide by a Baeyer-Villinger oxidation reaction at C-6, resulting in the formation of an unusual seven-membered lactone ring.  The enzyme possesses high affinity for both C28- and C27-Brassinosteroids. The expression of the gene using a CYP85A2 promoter:LUC fusion construct was shown to be under circadian and light control.	brassinosteroid-6-oxidase 2;(source:Araport11)
348	AT3G30720		QQS is an orphan gene that arose recently in the Arabidopsis thaliana lineage. It was first identified in a screen for genes with altered expression pattern in SS3 mutants which make an abundance of starch. Overexpression of QQS in Arabidopsis increases protein content and decreases total starch content. Thus it appears to function to modulate carbon/nitrogen allocation in Arabidopsis. Over expression of QQS in soybean, rice and maize also results in an increase in protein and decrease in starch levels suggesting that QQS affects similar pathways in a wide range of plants. QQS interacts with NF-YC4 in Arabidopsis and NF-YC4 homologs in rice, soybean and maize. In Arabidopsis QQS is localized the the cytoplasm and when complexed with NF-YC4 , it localizes to the nucleus. Putative OXS2-binding DEGs were constitutively activated by OXS2.	qua-quine starch;(source:Araport11)
349	AT3G33528			hypothetical protein;(source:Araport11)
350	AT3G33530			Transducin family protein / WD-40 repeat family protein;(source:Araport11)
351	AT3G43270	Plant invertase/pectin methylesterase inhibitor superfamily		Plant invertase/pectin methylesterase inhibitor superfamily;(source:Araport11)
352	AT3G43720	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein		Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein;(source:Araport11)
353	AT3G43920		Encodes a ribonuclease III family protein that is required for endogenous RDR2-dependent siRNA (but not miRNA) formation.	dicer-like 3;(source:Araport11)
354	AT3G44010			Ribosomal protein S14p/S29e family protein;(source:Araport11)
355	AT3G44310		Mutants are resistant to indole-3-acetonitrile (IAN). NIT1 catalyzes the terminal activation step in indole-acetic acid biosynthesis. Predominantly expressed isoform of nitrilase isoenzyme family.   Aggregation of NIT1 in cells directly abutting wound sites is one of the earliest events associated with wound and herbicide-induced cell death.  The protein undergoes thiolation following treatment with the  oxidant tert-butylhydroperoxide. It is also involved in the conversion of IAN to IAM (indole-3-acetamide) and other non-auxin-related metabolic processes.The mRNA is cell-to-cell mobile.	nitrilase 1;(source:Araport11)
356	AT3G44400			Disease resistance protein (TIR-NBS-LRR class) family;(source:Araport11)
357	AT3G44480		Encodes a TIR-NB-LRR R-protein RPP1 that confers resistance to Peronospora parasitica (downy mildew).	Disease resistance protein (TIR-NBS-LRR class) family;(source:Araport11)
358	AT3G44860	farnesoic acid carboxyl-O-methyltransferase	Encodes a farnesoic acid carboxyl-O-methyltransferase. The mRNA is cell-to-cell mobile.	farnesoic acid carboxyl-O-methyltransferase;(source:Araport11)
359	AT3G44990	xyloglucan endo-transglycosylase-related 8	Encodes a xyloglucan endotransglycosylase/hydrolase. Protein sequence and phylogenetic analysis indicates that this enzyme resides in Group III-A of the XTH family, with high similarity to Tropaeolum majus (nasturtium) xyloglucanase 1 (TmNXG1).Enzyme kinetic analysis indicates predominant xyloglucan endo-hydrolase activity (EC 3.2.1.151) with only limited potential to act as a xyloglucan endo-transglycosylase (EC 2.4.1.207).	xyloglucan endo-transglycosylase-related 8;(source:Araport11)
360	AT3G45260		BIB is a member of the BIRD family of zinc finger proteins that includes JKD. BIB functions redundantly with JKD to retain SHR in the nucleus and thereby restrict SHR movement in root tissues.	C2H2-like zinc finger protein;(source:Araport11)
361	AT3G45830			nuclear factor kappa-B-binding-like protein;(source:Araport11)
362	AT3G45860	cysteine-rich RLK (RECEPTOR-like protein kinase) 4	Encodes a cysteine-rich receptor-like protein kinase.  Involved in programmed cell death and defense response to pathogen.	cysteine-rich RLK (RECEPTOR-like protein kinase) 4;(source:Araport11)
363	AT3G46510	plant U-box 13	Encodes a protein containing a UND, a U-box, and an ARM domain. This protein has E3 ubiquitin ligase activity based on in vitro assays.  Can be phosphorylated in vitro by MLPK, ARK1, and ARK2 but not by SD1-29. Involved in ubiquitination of pattern recognition receptor FLS2.	plant U-box 13;(source:Araport11)
364	AT3G46970	alpha-glucan phosphorylase 2	Encodes a cytosolic alpha-glucan phosphorylase. In vitro, the enzyme has a preference for branched polysaccharides, such as glycogen.	alpha-glucan phosphorylase 2;(source:Araport11)
365	AT3G47010			Glycosyl hydrolase family protein;(source:Araport11)
366	AT3G47090	Leucine-rich repeat protein kinase family protein		Leucine-rich repeat protein kinase family protein;(source:Araport11)
367	AT3G47160			RING/U-box superfamily protein;(source:Araport11)
368	AT3G47380	Plant invertase/pectin methylesterase inhibitor superfamily protein	Pectin methylesterase inhibitor that is involved in  resistance to Botrytis cinerea. Affects PME activity during infection to prevent disease.	Plant invertase/pectin methylesterase inhibitor superfamily protein;(source:Araport11)
369	AT3G47450	P-loop containing nucleoside triphosphate hydrolases superfamily protein	Encodes a protein with similarity to the bacterial YqeH GTPase required for proper ribosome assembly. Mutant analyses show that this protein regulates growth and hormonal signaling and attenuates oxidative stress and reactive oxygen species (ROS). It also seems to be involved in regulating leaf senescence, cell death, nitric oxide biosynthesis in response to ABA but not exogenous H2O2. This protein also appears to be required for proper plastid biogenesis. Levels of several plastid-localized proteins, including RBCL, ClpP1, and the MEP biosynthesis enzymes DXS and DXR are altered in rif1-1 mutants. This protein was originally characterized as a mitrochondrial-localized nitric oxide synthase, but, the synthase activity was later disproven. In addition, new studies with GFP fusion proteins and chloroplast import assays suggest that this protein is found in chloroplasts.  Its localization to the chloroplast is enhanced by S-acylation.	P-loop containing nucleoside triphosphate hydrolases superfamily protein;(source:Araport11)
370	AT3G47520	malate dehydrogenase	Encodes a protein with NAD-dependent malate dehydrogenase activity, located in chloroplasts. The mRNA is cell-to-cell mobile.	malate dehydrogenase;(source:Araport11)
371	AT3G47570	Leucine-rich repeat protein kinase family protein		Leucine-rich repeat protein kinase family protein;(source:Araport11)
372	AT3G48050	BAH domain ;TFIIS helical bundle-like domain	Encodes a large protein with N-terminal bromo-adjacent homology (BAH) and transcription elongation factor S-II (TFS2N) domains and two C-terminal GW (glycine and tryptophan) repeats. It is nuclear and colocalizes with the processing-body component DCP1 in the cytoplasm. SOU is a component of the miRNA pathway and is involved in translational repression.	protein SUO;(source:Araport11)
373	AT3G48830	polynucleotide adenylyltransferase family protein / RNA recognition motif (RRM)-containing protein		tRNA nucleotidyltransferase/polyA polymerase family protein;(source:Araport11)
374	AT3G49120	peroxidase CB	Class III peroxidase Perx34. Expressed in roots, leaves and stems. Located in the cell wall. Involved in cell elongation. Expression activated by light. May play a role in generating H2O2 during defense response. The mRNA is cell-to-cell mobile.	peroxidase CB;(source:Araport11)
375	AT3G49160		Expression of the gene is downregulated in the presence of paraquat, an inducer of photoxidative stress.	pyruvate kinase family protein;(source:Araport11)
376	AT3G50380			vacuolar protein sorting-associated protein, putative (DUF1162);(source:Araport11)
377	AT3G50740	UDP-glucosyl transferase 72E1	UGT72E1 is an UDPG:coniferyl alcohol glucosyltransferase which specifically glucosylates sinapyl- and coniferyl aldehydes. The enzyme is thought to be involved in lignin metabolism.	UDP-glucosyl transferase 72E1;(source:Araport11)
378	AT3G50950	HOPZ-ACTIVATED RESISTANCE 1	Encodes a canonical CC-type NLR protein that is required for the recognition of the T3SE HopZ1a as well as several other Hop effectors from the pathogenic bacteria P. syringae.	HOPZ-ACTIVATED RESISTANCE 1;(source:Araport11)
379	AT3G52250		PWR Encodes a SANT domain containing protein that is involved in regulation of gene expression via histone modification. It affects target gene expression in a number of developmental and stress response pathways.  It promotes expression of  CRC, and MIR172a, b, and d to promote floral meristem determinacy. Part of a PWR-HOS15-HD2C complex to regulate expression of COR genes involved in cold tolerance.It interacts with HDA9 and has similar effects on H3K9 and H3K14methylation. The mRNA is cell-to-cell mobile. Involved in controlling seed germination under HT through histone acetylation modification and H2A.Z deposition.	Duplicated homeodomain-like superfamily protein;(source:Araport11)
380	AT3G52430	alpha/beta-Hydrolases superfamily protein	Encodes a lipase-like gene that is important for salicylic acid signaling and function in resistance (R) gene-mediated and basal plant disease resistance. PAD4 can interact directly with EDS1, another disease resistance signaling protein. Expressed at elevated level  in response to green peach aphid (GPA) feeding, and modulates the GPA feeding-induced leaf senescence through a mechanism that doesn't require camalexin synthesis and salicylic acid (SA) signaling. Required for the ssi2-dependent heightened  resistance to GPA. The mRNA is cell-to-cell mobile.	alpha/beta-Hydrolases superfamily protein;(source:Araport11)
381	AT3G53090	ubiquitin-protein ligase 7	encodes a ubiquitin-protein ligase containing a HECT domain. There are six other HECT-domain UPLs in Arabidopsis.	ubiquitin-protein ligase 7;(source:Araport11)
382	AT3G53280	cytochrome p450 71b5	cytochrome P450 monooxygenase The mRNA is cell-to-cell mobile.	cytochrome p450 71b5;(source:Araport11)
383	AT3G54600	Class I glutamine amidotransferase-like superfamily protein		Class I glutamine amidotransferase-like superfamily protein;(source:Araport11)
384	AT3G56290			potassium transporter;(source:Araport11)
385	AT3G56590	hydroxyproline-rich glycoprotein family protein		hydroxyproline-rich glycoprotein family protein;(source:Araport11)
386	AT3G57240	beta-1,3-glucanase 3	encodes a member of glycosyl hydrolase family 17	beta-1,3-glucanase 3;(source:Araport11)
387	AT3G57260		beta 1,3-glucanase	beta-1,3-glucanase 2;(source:Araport11)
388	AT3G57300		Encodes the Arabidopsis INO80 ortholog of the SWI/SNF ATPase family that has been shown to interact with H2A.Z and facilitates the enrichment of H2A.Z at the ends of the flowering repressor genes FLC and MAF4/5.  Functions as a positive regulator of DNA homologous recombination (HR) and plays a crucial role in genome stability maintenance.  In INO80 mutants, the HR frequency is reduced to 15% of that in the wild-type.   Plants mutated in INO80 display a pleiotropic phenotype including smaller plant and organ size, and late flowering but are not more sensitive to genotoxic agents or less efficient at T-DNA integration. INO80 has also been shown to regulate a subset of the Arabidopsis transcriptome.	DNA helicase INO80-like protein;(source:Araport11)
389	AT3G57330		Lesion mimic phenotype when mutation in the gene is combined with a mutation in ACA4.  Lesion mimic phenotype of double knockout can be suppressed by nutritional supplements that increase anion levels (e.g. 15 mM Nitrate, Chloride, or Phosphate)	autoinhibited Ca2+-ATPase 11;(source:Araport11)
390	AT3G57520	seed imbibition 2	SIP2 encodes a raffinose-specific alpha-galactosidase that catalyzes the breakdown of raffinose into alpha-galatose and sucrose. This enzyme may function in unloading raffinose from the phloem as part of sink metabolism. Although it was originally predicted to act as a raffinose synthase (RS), that activity was not observed for recombinant SIP2.	seed imbibition 2;(source:Araport11)
391	AT3G57660		Encodes a subunit of RNA polymerase I (aka RNA polymerase A).The mRNA is cell-to-cell mobile.	nuclear RNA polymerase A1;(source:Araport11)
392	AT3G59010	pectin methylesterase 61	Encodes PME35, a pectin methylesterase. PME35-mediated demethylesterification of the primary cell wall regulates the mechanical strength of the supporting tissue.	pectin methylesterase 61;(source:Araport11)
393	AT3G59290	ENTH/VHS family protein	Involved in plant trans-Golgi network (TGN) transport.	ENTH/VHS family protein;(source:Araport11)
394	AT3G59580			Plant regulator RWP-RK family protein;(source:Araport11)
395	AT3G59690		Member of IQ67 (CaM binding) domain containing family.	IQ-domain 13;(source:Araport11)
396	AT3G60180	P-loop containing nucleoside triphosphate hydrolases superfamily protein		P-loop containing nucleoside triphosphate hydrolases superfamily protein;(source:Araport11)
397	AT3G61920		PADRE protein.	UvrABC system protein C;(source:Araport11)
398	AT3G62960	Thioredoxin superfamily protein	Encodes a member of the CC-type glutaredoxin (ROXY) family that has been shown to interact with the transcription factor TGA2.	Thioredoxin superfamily protein;(source:Araport11)
399	AT4G00140	Calcium-binding EF-hand family protein		Calcium-binding EF-hand family protein;(source:Araport11)
400	AT4G00450		Encodes the Arabidopsis homolog of the transcriptional regulator MED12, is dynamically expressed during embryogenesis and regulates both developmental timing and the radial pattern formation. Involved in flowering time. The mutant enhances the expression of the flowering time (FT) gene. A knockout mutant of this gene showed late-flowering phenotype.	RNA polymerase II transcription mediator;(source:Araport11)
401	AT4G00490	beta-amylase 2	Encodes a chloroplast beta-amylase. The enzyme activity is very weak compared to BAM1 and BAM3. It forms a tetramer whose activity requires K+ and exhibits sigmoidal kinetics Mutants of BAM2 have no visible phenotype.	beta-amylase 2;(source:Araport11)
402	AT4G00620	Amino acid dehydrogenase family protein		Amino acid dehydrogenase family protein;(source:Araport11)
403	AT4G00970		Encodes a cysteine-rich receptor-like protein kinase.	cysteine-rich RLK (RECEPTOR-like protein kinase) 41;(source:Araport11)
404	AT4G01010		member of Cyclic nucleotide gated channel family	cyclic nucleotide-gated channel 13;(source:Araport11)
405	AT4G01400		Pentatricopeptide Repeat Protein involved in splicing of nad4, nad 5, nad 1 and nad2 introns which affects biogenesis of the respiratory complex I.	oligomeric golgi complex subunit-like protein;(source:Araport11)
406	AT4G01740	Cysteine/Histidine-rich C1 domain family protein		Cysteine/Histidine-rich C1 domain family protein;(source:Araport11)
407	AT4G02420	Concanavalin A-like lectin protein kinase family protein		Concanavalin A-like lectin protein kinase family protein;(source:Araport11)
408	AT4G02520	glutathione S-transferase PHI 2	Encodes glutathione transferase belonging to the phi class of GSTs. Naming convention according to Wagner et al. (2002).  The expression of this gene is upregulated by herbicide safeners such as benoxacor and fenclorim.	glutathione S-transferase PHI 2;(source:Araport11)
409	AT4G02660			Beige/BEACH and WD40 domain-containing protein;(source:Araport11)
410	AT4G03450			Ankyrin repeat family protein;(source:Araport11)
411	AT4G04180			P-loop containing nucleoside triphosphate hydrolases superfamily protein;(source:Araport11)
412	AT4G04490	cysteine-rich RLK (RECEPTOR-like protein kinase) 36	Encodes a cysteine-rich receptor-like protein kinase.	cysteine-rich RLK (RECEPTOR-like protein kinase) 36;(source:Araport11)
413	AT4G04695	calcium-dependent protein kinase 31	member of Calcium Dependent Protein Kinase. Involved in response to salicylic acid, regulated by Bacillus amyloliquefaciens under high calcium stress.	calcium-dependent protein kinase 31;(source:Araport11)
414	AT4G04970	glucan synthase-like 1	encodes a gene similar to callose synthase The mRNA is cell-to-cell mobile.	glucan synthase-like 1;(source:Araport11)
415	AT4G05050	ubiquitin 11	polyubiquitin gene, belongs to a subtype group with UBQ10 and UBQ14.  Various ecotypes of Arabidopsis have different numbers of ubiquitin repeats within this gene.	ubiquitin 11;(source:Araport11)
416	AT4G05320		One of five polyubiquitin genes in A. thaliana.  These genes encode the highly conserved 76-amino acid protein ubiquitin that is covalently attached to substrate proteins targeting most for degradation. Polyubiquitin genes are characterized by the presence of tandem repeats of the 228 bp that encode a ubiquitin monomer. Induced by salicylic acid. Independent of NPR1 for their induction by salicylic acid.The mRNA is cell-to-cell mobile.	polyubiquitin 10;(source:Araport11)
417	AT4G08760			hypothetical protein;(source:Araport11)
