Gene_name	Gene_symbol	TairAliases	ShortDescription	ComputationalDescription
AT5G61910	AT5G61910		DCD (Development and Cell Death) domain protein	DCD (Development and Cell Death) domain protein;(source:Araport11)
AT1G66970	SVL2	GDPDL1, SVL2	SHV3-like 2	SHV3-like 2;(source:Araport11)
AT1G52770	AT1G52770		Phototropic-responsive NPH3 family protein	Phototropic-responsive NPH3 family protein;(source:Araport11)
AT1G54570	PES1	PES1	Esterase/lipase/thioesterase family protein	Esterase/lipase/thioesterase family protein;(source:Araport11)
AT5G41750	AT5G41750		Disease resistance protein (TIR-NBS-LRR class) family	Disease resistance protein (TIR-NBS-LRR class) family;(source:Araport11)
AT3G45260	AT3G45260	BIB, IDD9	C2H2-like zinc finger protein	C2H2-like zinc finger protein;(source:Araport11)
AT4G18197	PUP7	ATPUP7, PEX17, PUP7	purine permease 7	purine permease 7;(source:Araport11)
AT2G34430	LHB1B1	DEG11, LHB1B1, LHCB1.4	light-harvesting chlorophyll-protein complex II subunit B1	light-harvesting chlorophyll-protein complex II subunit B1;(source:Araport11)
AT1G67310	AT1G67310		Calmodulin-binding transcription activator protein with CG-1 and Ankyrin domains	Calmodulin-binding transcription activator protein with CG-1 and Ankyrin domain;(source:Araport11)
AT3G24870	AT3G24870	AtEAF1B	Helicase/SANT-associated, DNA binding protein	Helicase/SANT-associated, DNA binding protein;(source:Araport11)
AT1G54040	ESP	ESP, ESR, TASTY	epithiospecifier protein	epithiospecifier protein;(source:Araport11)
AT3G30720	QQS	DEG6, QQS	qua-quine starch	qua-quine starch;(source:Araport11)
AT5G44400	AT5G44400	AtBBE26	FAD-binding Berberine family protein	FAD-binding Berberine family protein;(source:Araport11)
AT4G30270	XTH24	MERI-5, MERI5B, SEN4, XTH24	xyloglucan endotransglucosylase/hydrolase 24	xyloglucan endotransglucosylase/hydrolase 24;(source:Araport11)
AT1G15150	AT1G15150		MATE efflux family protein	MATE efflux family protein;(source:Araport11)
AT5G58670	PLC1	ATPLC, ATPLC1, PLC1	phospholipase C1	phospholipase C1;(source:Araport11)
AT3G26170	CYP71B19	CYP71B19	cytochrome P450, family 71, subfamily B, polypeptide 19	cytochrome P450, family 71, subfamily B, polypeptide 19;(source:Araport11)
AT5G19260	FAF3	FAF3	Protein of unknown function (DUF3049)	FANTASTIC four-like protein (DUF3049);(source:Araport11)
AT5G40170	RLP54	AtRLP54, RLP54	receptor like protein 54	receptor like protein 54;(source:Araport11)
AT1G15510	ECB2	ATECB2, ECB2, VAC1	Tetratricopeptide repeat (TPR)-like superfamily protein	Tetratricopeptide repeat (TPR)-like superfamily protein;(source:Araport11)
AT5G58120	AT5G58120	DM10	Disease resistance protein (TIR-NBS-LRR class) family	Disease resistance protein (TIR-NBS-LRR class) family;(source:Araport11)
AT1G09830	PUR2	PUR2	Glycinamide ribonucleotide (GAR) synthetase	Glycinamide ribonucleotide (GAR) synthetase;(source:Araport11)
AT2G33770	PHO2	ATUBC24, PHO2, UBC24	phosphate 2	phosphate 2;(source:Araport11)
AT2G28260	CNGC15	ATCNGC15, CNGC15	cyclic nucleotide-gated channel 15	cyclic nucleotide-gated channel 15;(source:Araport11)
AT4G01740	AT4G01740		Cysteine/Histidine-rich C1 domain family protein	Cysteine/Histidine-rich C1 domain family protein;(source:Araport11)
AT4G10650	AT4G10650		P-loop containing nucleoside triphosphate hydrolases superfamily protein	P-loop containing nucleoside triphosphate hydrolases superfamily protein;(source:Araport11)
AT3G06170	AT3G06170		Serinc-domain containing serine and sphingolipid biosynthesis protein	Serinc-domain containing serine and sphingolipid biosynthesis protein;(source:Araport11)
AT3G19930	STP4	ATSTP4, STP4	sugar transporter 4	sugar transporter 4;(source:Araport11)
AT5G22390	AT5G22390		Protein of unknown function (DUF3049)	FANTASTIC four-like protein (DUF3049);(source:Araport11)
AT1G15740	AT1G15740		Leucine-rich repeat family protein	Leucine-rich repeat family protein;(source:Araport11)
AT5G66620	DAR6	DAR6	DA1-related protein 6	DA1-related protein 6;(source:Araport11)
AT3G46510	PUB13	ATPUB13, PUB13	plant U-box 13	plant U-box 13;(source:Araport11)
AT1G67840	CSK	CSK	chloroplast sensor kinase	chloroplast sensor kinase;(source:Araport11)
AT1G24460	TNO1	TNO1	NULL	TGN-related, localized SYP41 interacting protein;(source:Araport11)
AT1G27770	ACA1	ACA1, PEA1	autoinhibited Ca2+-ATPase 1	autoinhibited Ca2+-ATPase 1;(source:Araport11)
AT4G18250	AT4G18250		receptor serine/threonine kinase, putative	receptor Serine/Threonine kinase-like protein;(source:Araport11)
AT4G39250	RL1	ATRL1, RL1, RSM2	RAD-like 1	RAD-like 1;(source:Araport11)
AT4G34135	UGT73B2	UGT73B2	UDP-glucosyltransferase 73B2	UDP-glucosyltransferase 73B2;(source:Araport11)
AT4G29380	VPS15	AtVPS15, MTV11, VPS15	protein kinase family protein / WD-40 repeat family protein	protein kinase family protein / WD-40 repeat family protein;(source:Araport11)
AT1G11050	AT1G11050		Protein kinase superfamily protein	Protein kinase superfamily protein;(source:Araport11)
AT1G48490	AT1G48490	IRE3	Protein kinase superfamily protein	Protein kinase superfamily protein;(source:Araport11)
AT2G06040	AT2G06040	RAD7a	NULL	F-box/LRR protein;(source:Araport11)
AT4G17550	G3Pp4	AtG3Pp4, G3Pp4	Major facilitator superfamily protein	Major facilitator superfamily protein;(source:Araport11)
AT1G15180	AT1G15180		MATE efflux family protein	MATE efflux family protein;(source:Araport11)
AT1G30420	ABCC11	ABCC11, ATMRP12, MRP12	multidrug resistance-associated protein 12	multidrug resistance-associated protein 12;(source:Araport11)
AT5G02880	UPL4	UPL4	ubiquitin-protein ligase 4	ubiquitin-protein ligase 4;(source:Araport11)
AT4G27070	TSB2	TSB2	tryptophan synthase beta-subunit 2	tryptophan synthase beta-subunit 2;(source:Araport11)
AT2G35110	GRL	GRL, HEM1, LPL3, NAP1, NAPP	transcription activators	transcription activator;(source:Araport11)
AT1G64370	AT1G64370	AtPARCL, PARCL	NULL	filaggrin-like protein;(source:Araport11)
AT3G56590	AT3G56590		hydroxyproline-rich glycoprotein family protein	hydroxyproline-rich glycoprotein family protein;(source:Araport11)
AT2G32530	CSLB03	ATCSLB03, ATCSLB3, CSLB03	cellulose synthase-like B3	cellulose synthase-like B3;(source:Araport11)
AT3G11964	AT3G11964	RRP5	RNA binding;RNA binding	RIBOSOMAL RNA PROCESSING 5;(source:Araport11)
AT5G63850	AAP4	AAP4	amino acid permease 4	amino acid permease 4;(source:Araport11)
AT1G17600	AT1G17600	SOC3	Disease resistance protein (TIR-NBS-LRR class) family	Disease resistance protein (TIR-NBS-LRR class) family;(source:Araport11)
AT3G45860	CRK4	CRK4	cysteine-rich RLK (RECEPTOR-like protein kinase) 4	cysteine-rich RLK (RECEPTOR-like protein kinase) 4;(source:Araport11)
AT4G00620	EMB3127	EMB3127	Amino acid dehydrogenase family protein	Amino acid dehydrogenase family protein;(source:Araport11)
AT3G03190	GSTF11	ATGSTF11, ATGSTF6, GSTF11	glutathione S-transferase F11	glutathione S-transferase F11;(source:Araport11)
AT2G43500	AT2G43500	NLP8	Plant regulator RWP-RK family protein	Plant regulator RWP-RK family protein;(source:Araport11)
AT3G15590	AT3G15590	DWEORG1	Tetratricopeptide repeat (TPR)-like superfamily protein	Tetratricopeptide repeat (TPR)-like superfamily protein;(source:Araport11)
AT3G11930	AT3G11930		Adenine nucleotide alpha hydrolases-like superfamily protein	Adenine nucleotide alpha hydrolases-like superfamily protein;(source:Araport11)
AT1G76950	PRAF1	PRAF1, PRAF4, RLD1	Regulator of chromosome condensation (RCC1) family with FYVE zinc finger domain	Regulator of chromosome condensation (RCC1) family with FYVE zinc finger domain-containing protein;(source:Araport11)
AT1G05630	5PTASE13	5PTASE13, AT5PTASE13	Endonuclease/exonuclease/phosphatase family protein	Endonuclease/exonuclease/phosphatase family protein;(source:Araport11)
AT2G36970	AT2G36970		UDP-Glycosyltransferase superfamily protein	UDP-Glycosyltransferase superfamily protein;(source:Araport11)
AT4G14090	AT4G14090		UDP-Glycosyltransferase superfamily protein	UDP-Glycosyltransferase superfamily protein;(source:Araport11)
AT1G62540	FMO GS-OX2	FMO GS-OX2	flavin-monooxygenase glucosinolate S-oxygenase 2	flavin-monooxygenase glucosinolate S-oxygenase 2;(source:Araport11)
AT4G27640	AT4G27640	IMB4	ARM repeat superfamily protein	ARM repeat superfamily protein;(source:Araport11)
AT2G42600	PPC2	ATPPC2, PPC2	phosphoenolpyruvate carboxylase 2	phosphoenolpyruvate carboxylase 2;(source:Araport11)
AT5G61030	GR-RBP3	GR-RBP3, ORRM3, RBGA7	glycine-rich RNA-binding protein 3	glycine-rich RNA-binding protein 3;(source:Araport11)
AT4G23140	CRK6	CRK6	cysteine-rich RLK (RECEPTOR-like protein kinase) 6	cysteine-rich RLK (RECEPTOR-like protein kinase) 6;(source:Araport11)
AT5G59670	AT5G59670		Leucine-rich repeat protein kinase family protein	Leucine-rich repeat protein kinase family protein;(source:Araport11)
AT3G26200	CYP71B22	CYP71B22	cytochrome P450, family 71, subfamily B, polypeptide 22	cytochrome P450, family 71, subfamily B, polypeptide 22;(source:Araport11)
AT1G51800	IOS1	IOS1	Leucine-rich repeat protein kinase family protein	Leucine-rich repeat protein kinase family protein;(source:Araport11)
AT4G14220	RHF1A	RHF1A	RING-H2 group F1A	RING-H2 group F1A;(source:Araport11)
AT5G47330	AT5G47330		alpha/beta-Hydrolases superfamily protein	alpha/beta-Hydrolases superfamily protein;(source:Araport11)
AT5G24770	VSP2	ATVSP2, VSP2	vegetative storage protein 2	vegetative storage protein 2;(source:Araport11)
AT5G16000	NIK1	AtNIK1, NIK1	NSP-interacting kinase 1	NSP-interacting kinase 1;(source:Araport11)
AT4G19710	AK-HSDH II	AK-HSDH, AK-HSDH II	aspartate kinase-homoserine dehydrogenase ii	aspartate kinase-homoserine dehydrogenase ii;(source:Araport11)
AT3G16857	RR1	ARR1, RR1	response regulator 1	response regulator 1;(source:Araport11)
AT5G35220	EGY1	AMOS1, EGY1, EVR3	Peptidase M50 family protein	Peptidase M50 family protein;(source:Araport11)
AT5G04020	AT5G04020		calmodulin binding	calmodulin binding protein;(source:Araport11)
AT5G28770	BZO2H3	AtbZIP63, bZIP63, BZO2H3	bZIP transcription factor family protein	bZIP transcription factor family protein;(source:Araport11)
AT3G46970	PHS2	ATPHS2, PHS2	alpha-glucan phosphorylase 2	alpha-glucan phosphorylase 2;(source:Araport11)
AT1G72300	PSY1R	PSY1R	Leucine-rich receptor-like protein kinase family protein	Leucine-rich receptor-like protein kinase family protein;(source:Araport11)
AT1G07370	PCNA1	ATPCNA1, PCNA1	proliferating cellular nuclear antigen 1	proliferating cellular nuclear antigen 1;(source:Araport11)
AT2G38500	AT2G38500		2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein;(source:Araport11)
AT5G26600	AT5G26600		Pyridoxal phosphate (PLP)-dependent transferases superfamily protein	Pyridoxal phosphate (PLP)-dependent transferases superfamily protein;(source:Araport11)
AT3G14270	FAB1B	FAB1B	phosphatidylinositol-4-phosphate 5-kinase family protein	phosphatidylinositol-4-phosphate 5-kinase family protein;(source:Araport11)
AT2G05120	AT2G05120	NUP133	Nucleoporin, Nup133/Nup155-like	Nucleoporin, Nup133/Nup155-like protein;(source:Araport11)
AT4G02420	AT4G02420	LecRK-IV.4	Concanavalin A-like lectin protein kinase family protein	Concanavalin A-like lectin protein kinase family protein;(source:Araport11)
AT4G12070	AT4G12070		NULL	hypothetical protein;(source:Araport11)
AT1G02205	CER1	CER1, CER22	Fatty acid hydroxylase superfamily	Fatty acid hydroxylase superfamily;(source:Araport11)
AT4G20110	VSR7	BP80-3;1, VSR3;1, VSR7	VACUOLAR SORTING RECEPTOR 7	VACUOLAR SORTING RECEPTOR 7;(source:Araport11)
AT2G23450	AT2G23450	WAKL14	Protein kinase superfamily protein	Protein kinase superfamily protein;(source:Araport11)
AT4G13840	AT4G13840	CER26	HXXXD-type acyl-transferase family protein	HXXXD-type acyl-transferase family protein;(source:Araport11)
AT4G01400	AT4G01400	MISF74	NULL	oligomeric golgi complex subunit-like protein;(source:Araport11)
AT5G38430	RBCS1B	RBCS1B	Ribulose bisphosphate carboxylase (small chain) family protein	Ribulose bisphosphate carboxylase (small chain) family protein;(source:Araport11)
AT1G51640	EXO70G2	ATEXO70G2, EXO70G2	exocyst subunit exo70 family protein G2	exocyst subunit exo70 family protein G2;(source:Araport11)
AT4G15200	FH3	AFH3, FH3	formin 3	formin 3;(source:Araport11)
AT5G56610	AT5G56610	PTPMT2	Phosphotyrosine protein phosphatases superfamily protein	Phosphotyrosine protein phosphatases superfamily protein;(source:Araport11)
AT3G56290	AT3G56290		NULL	potassium transporter;(source:Araport11)
AT5G40850	UPM1	AtUPM1, UPM1	urophorphyrin methylase 1	urophorphyrin methylase 1;(source:Araport11)
AT1G10490	AT1G10490	ACYR1, AtNAT10a, NAT10a	Domain of unknown function (DUF1726) ;Putative ATPase (DUF699)	GNAT acetyltransferase (DUF699);(source:Araport11)
AT2G13820	XYP2	AtXYP2, LPTG11, XYP2	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein;(source:Araport11)
AT5G55860	AT5G55860	TREPH1	Plant protein of unknown function (DUF827)	weak chloroplast movement under blue light protein (DUF827);(source:Araport11)
AT1G72120	AT1G72120	AtNPF5.14, NPF5.14	Major facilitator superfamily protein	Major facilitator superfamily protein;(source:Araport11)
AT3G44400	AT3G44400		Disease resistance protein (TIR-NBS-LRR class) family	Disease resistance protein (TIR-NBS-LRR class) family;(source:Araport11)
AT2G35760	AT2G35760	CASPL2B2	Uncharacterised protein family (UPF0497)	Uncharacterized protein family (UPF0497);(source:Araport11)
AT4G02520	GSTF2	ATGSTF2, ATPM24, ATPM24.1, GST2, GSTF2	glutathione S-transferase PHI 2	glutathione S-transferase PHI 2;(source:Araport11)
AT1G64280	NPR1	ATNPR1, NIM1, NPR1, SAI1	regulatory protein (NPR1)	regulatory protein (NPR1);(source:Araport11)
AT5G48380	BIR1	BIR1	BAK1-interacting receptor-like kinase 1	BAK1-interacting receptor-like kinase 1;(source:Araport11)
AT1G52000	AT1G52000		Mannose-binding lectin superfamily protein	Mannose-binding lectin superfamily protein;(source:Araport11)
AT3G53090	UPL7	UPL7	ubiquitin-protein ligase 7	ubiquitin-protein ligase 7;(source:Araport11)
AT4G00490	BAM2	BAM2, BMY9	beta-amylase 2	beta-amylase 2;(source:Araport11)
AT1G64500	AT1G64500	THRUMIN1	Glutaredoxin family protein	Glutaredoxin family protein;(source:Araport11)
AT1G29920	CAB2	AB165, CAB2, LHCB1.1	chlorophyll A/B-binding protein 2	chlorophyll A/B-binding protein 2;(source:Araport11)
AT1G76930	EXT4	ATEXT1, ATEXT4, EXT1, EXT4, ORG5	extensin 4	extensin 4;(source:Araport11)
AT5G26742	emb1138	AtRH3, emb1138, RH3	DEAD box RNA helicase (RH3)	DEAD box RNA helicase (RH3);(source:Araport11)
AT1G09750	AT1G09750		Eukaryotic aspartyl protease family protein	Eukaryotic aspartyl protease family protein;(source:Araport11)
AT4G32770	VTE1	ATSDX1, VTE1	tocopherol cyclase, chloroplast / vitamin E deficient 1 (VTE1) / sucrose export defective 1 (SXD1)	tocopherol cyclase, chloroplast / vitamin E deficient 1 (VTE1) / sucrose export defective 1 (SXD1);(source:Araport11)
AT4G05320	UBQ10	UBI10, UBQ10	polyubiquitin 10	polyubiquitin 10;(source:Araport11)
AT3G21560	UGT84A2	BRT1, UGT84A2	UDP-Glycosyltransferase superfamily protein	UDP-Glycosyltransferase superfamily protein;(source:Araport11)
AT4G17970	ALMT12	ALMT12, ATALMT12, QUAC1	aluminum-activated, malate transporter 12	aluminum-activated, malate transporter 12;(source:Araport11)
AT3G27870	AT3G27870	ALA8	ATPase E1-E2 type family protein / haloacid dehalogenase-like hydrolase family protein	ATPase E1-E2 type family protein / haloacid dehalogenase-like hydrolase family protein;(source:Araport11)
AT5G17860	CAX7	CAX7, CCX1	calcium exchanger 7	calcium exchanger 7;(source:Araport11)
AT3G16240	DELTA-TIP	AQP1, ATTIP2;1, DELTA-TIP, DELTA-TIP1, TIP2;1	delta tonoplast integral protein	delta tonoplast integral protein;(source:Araport11)
AT3G52430	PAD4	ATPAD4, PAD4	alpha/beta-Hydrolases superfamily protein	alpha/beta-Hydrolases superfamily protein;(source:Araport11)
AT1G73177	BNS	APC13, BNS	bonsai	bonsai;(source:Araport11)
AT5G22930	AT5G22930		Protein of unknown function (DUF1635)	enabled-like protein (DUF1635);(source:Araport11)
AT2G31380	STH	BBX25, STH	salt tolerance homologue	salt tolerance homologue;(source:Araport11)
AT1G52750	AT1G52750		alpha/beta-Hydrolases superfamily protein	alpha/beta-Hydrolases superfamily protein;(source:Araport11)
AT4G10930	AT4G10930		NULL	RING/U-box protein;(source:Araport11)
AT2G42940	AT2G42940	AHL16, TEK	Predicted AT-hook DNA-binding family protein	Putative AT-hook DNA-binding family protein;(source:Araport11)
AT1G44800	SIAR1	SIAR1, UMAMIT18	nodulin MtN21 /EamA-like transporter family protein	nodulin MtN21 /EamA-like transporter family protein;(source:Araport11)
AT2G24120	SCA3	PDE319, SCA3	DNA/RNA polymerases superfamily protein	DNA/RNA polymerases superfamily protein;(source:Araport11)
AT2G34750	AT2G34750		RNA polymerase I specific transcription initiation factor RRN3 protein	RNA polymerase I specific transcription initiation factor RRN3 protein;(source:Araport11)
AT4G12320	CYP706A6	CYP706A6	cytochrome P450, family 706, subfamily A, polypeptide 6	cytochrome P450, family 706, subfamily A, polypeptide 6;(source:Araport11)
AT1G22540	AT1G22540	NPF5.10	Major facilitator superfamily protein	Major facilitator superfamily protein;(source:Araport11)
AT4G17810	AT4G17810	EMB3022, ZP1	C2H2 and C2HC zinc fingers superfamily protein	C2H2 and C2HC zinc fingers superfamily protein;(source:Araport11)
AT1G29760	AT1G29760	SEIPIN2	Putative adipose-regulatory protein (Seipin)	Putative adipose-regulatory protein (Seipin);(source:Araport11)
AT1G26440	UPS5	ATUPS5, UPS5	ureide permease 5	ureide permease 5;(source:Araport11)
AT5G49570	PNG1	AtPNG1, PNG1	peptide-N-glycanase 1	peptide-N-glycanase 1;(source:Araport11)
AT3G44010	AT3G44010	uS14y	Ribosomal protein S14p/S29e family protein	Ribosomal protein S14p/S29e family protein;(source:Araport11)
AT5G63530	FP3	ATFP3, AtHMP54, FP3	farnesylated protein 3	farnesylated protein 3;(source:Araport11)
AT5G05190	AT5G05190	EDR4	Protein of unknown function (DUF3133)	hypothetical protein (DUF3133);(source:Araport11)
AT5G03280	EIN2	ATEIN2, CKR1, EIN2, ERA3, ORE2, ORE3, PIR2	NRAMP metal ion transporter family protein	NRAMP metal ion transporter family protein;(source:Araport11)
AT1G18000	AT1G18000		Major facilitator superfamily protein	Major facilitator superfamily protein;(source:Araport11)
AT5G24210	AT5G24210	PRLIP1	alpha/beta-Hydrolases superfamily protein	alpha/beta-Hydrolases superfamily protein;(source:Araport11)
AT2G25355	AT2G25355		PNAS-3 related	PNAS-3-like protein;(source:Araport11)
AT2G30930	AT2G30930		NULL	hypothetical protein;(source:Araport11)
AT1G64600	AT1G64600	mS22	methyltransferases;copper ion binding	copper ion binding / methyltransferase;(source:Araport11)
AT5G15810	AT5G15810	AtTRM1b, TRM1b	N2,N2-dimethylguanosine tRNA methyltransferase	tRNA (guanine(26)-N(2))-dimethyltransferase;(source:Araport11)
AT1G58270	ZW9	ZW9	TRAF-like family protein	TRAF-like family protein;(source:Araport11)
AT1G55450	AT1G55450		S-adenosyl-L-methionine-dependent methyltransferases superfamily protein	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein;(source:Araport11)
AT4G12390	PME1	PME1	pectin methylesterase inhibitor 1	pectin methylesterase inhibitor 1;(source:Araport11)
AT1G52780	AT1G52780		Protein of unknown function (DUF2921)	PII, uridylyltransferase (DUF2921);(source:Araport11)
AT2G20370	MUR3	AtMUR3, KAM1, MUR3, RSA3	Exostosin family protein	Exostosin family protein;(source:Araport11)
AT1G18810	AT1G18810		phytochrome kinase substrate-related	phytochrome kinase substrate-like protein;(source:Araport11)
AT1G29940	NRPA2	NRPA2	nuclear RNA polymerase A2	nuclear RNA polymerase A2;(source:Araport11)
AT2G30200	EMB3147	EMB3147, MCAMT, MCAT	catalytics;transferases;[acyl-carrier-protein] S-malonyltransferases;binding	EMBRYO DEFECTIVE 3147;(source:Araport11)
AT4G14365	XBAT34	XBAT34	XB3 ortholog 4 in Arabidopsis thaliana	hypothetical protein;(source:Araport11)
AT3G18524	MSH2	ATMSH2, MSH2	MUTS homolog 2	MUTS homolog 2;(source:Araport11)
AT1G50575	AT1G50575		Putative lysine decarboxylase family protein	Putative lysine decarboxylase family protein;(source:Araport11)
AT2G45510	CYP704A2	CYP704A2	cytochrome P450, family 704, subfamily A, polypeptide 2	cytochrome P450, family 704, subfamily A, polypeptide 2;(source:Araport11)
AT2G38530	LTP2	AtLtpI-5, cdf3, LP2, LTP2	lipid transfer protein 2	lipid transfer protein 2;(source:Araport11)
AT2G36870	XTH32	AtXTH32, XTH32	xyloglucan endotransglucosylase/hydrolase 32	xyloglucan endotransglucosylase/hydrolase 32;(source:Araport11)
AT1G53250	AT1G53250		NULL	histone-lysine N-methyltransferase, H3 lysine-79 specific-like protein;(source:Araport11)
AT3G04400	emb2171	emb2171, RPL23, uL14y	Ribosomal protein L14p/L23e family protein	Ribosomal protein L14p/L23e family protein;(source:Araport11)
AT1G18390	AT1G18390	LRK10L1.1, LRK10L1.2	Protein kinase superfamily protein	Serine/Threonine kinase family catalytic domain protein;(source:Araport11)
AT3G16940	AT3G16940	CAMTA6	calmodulin binding;transcription regulators	calmodulin-binding transcription activator;(source:Araport11)
AT5G44290	AT5G44290		Protein kinase superfamily protein	Protein kinase superfamily protein;(source:Araport11)
AT1G31580	ECS1	CXC750, ECS1	ECS1	ECS1;(source:Araport11)
AT3G05650	RLP32	AtRLP32, RLP32	receptor like protein 32	receptor like protein 32;(source:Araport11)
AT5G28400	AT5G28400		NULL	embryo defective protein;(source:Araport11)
AT3G44860	FAMT	FAMT	farnesoic acid carboxyl-O-methyltransferase	farnesoic acid carboxyl-O-methyltransferase;(source:Araport11)
AT4G04180	AT4G04180		P-loop containing nucleoside triphosphate hydrolases superfamily protein	P-loop containing nucleoside triphosphate hydrolases superfamily protein;(source:Araport11)
AT3G10530	AT3G10530		Transducin/WD40 repeat-like superfamily protein	Transducin/WD40 repeat-like superfamily protein;(source:Araport11)
AT1G62750	SCO1	ATSCO1, ATSCO1/CPEF-G, SCO1	Translation elongation factor EFG/EF2 protein	Translation elongation factor EFG/EF2 protein;(source:Araport11)
AT3G47380	AT3G47380	AtPMEI11	Plant invertase/pectin methylesterase inhibitor superfamily protein	Plant invertase/pectin methylesterase inhibitor superfamily protein;(source:Araport11)
AT1G54160	NF-YA5	NF-YA5, NFYA5	nuclear factor Y, subunit A5	nuclear factor Y, subunit A5;(source:Araport11)
AT4G23010	UTR2	ATUTR2, UTR2	UDP-galactose transporter 2	UDP-galactose transporter 2;(source:Araport11)
AT5G56950	NAP1;3	NAP1;3, NFA03, NFA3	nucleosome assembly protein 1;3	nucleosome assembly protein 1;(source:Araport11)
AT1G18090	AT1G18090	EXO1B	5'-3' exonuclease family protein	5-3 exonuclease family protein;(source:Araport11)
AT4G24770	RBP31	ATRBP31, ATRBP33, CP31, CP31A, RBP31	31-kDa RNA binding protein	31-kDa RNA binding protein;(source:Araport11)
AT2G47000	ABCB4	ABCB4, AtABCB4, ATPGP4, MDR4, PGP4	ATP binding cassette subfamily B4	ATP binding cassette subfamily B4;(source:Araport11)
AT1G48630	RACK1B_AT	RACK1B, RACK1B_AT, RACK1y	receptor for activated C kinase 1B	receptor for activated C kinase 1B;(source:Araport11)
AT4G25990	CIL	CIL	CCT motif family protein	CCT motif family protein;(source:Araport11)
AT4G08870	ARGAH2	ARGAH2	Arginase/deacetylase superfamily protein	Arginase/deacetylase superfamily protein;(source:Araport11)
AT1G78370	GSTU20	ATGSTU20, GSTU20	glutathione S-transferase TAU 20	glutathione S-transferase TAU 20;(source:Araport11)
AT3G26520	TIP2	GAMMA-TIP2, SITIP, TIP1;2, TIP2	tonoplast intrinsic protein 2	tonoplast intrinsic protein 2;(source:Araport11)
AT1G73980	AT1G73980	AtTTM1, TTM1	Phosphoribulokinase / Uridine kinase family	Phosphoribulokinase / Uridine kinase family;(source:Araport11)
AT2G25850	PAPS2	PAPS2	poly(A) polymerase 2	poly(A) polymerase 2;(source:Araport11)
AT5G67180	TOE3	EAT3, TOE3	target of early activation tagged (EAT) 3	target of early activation tagged (EAT) 3;(source:Araport11)
AT2G06050	OPR3	AtOPR3, DDE1, OPR3	oxophytodienoate-reductase 3	oxophytodienoate-reductase 3;(source:Araport11)
AT3G22231	PCC1	PCC1, PCM4	pathogen and circadian controlled 1	pathogen and circadian controlled 1;(source:Araport11)
AT5G07990	TT7	CYP75B1, D501, TT7	Cytochrome P450 superfamily protein	Cytochrome P450 superfamily protein;(source:Araport11)
AT5G22340	AT5G22340		NULL	NF-kappa-B inhibitor-like protein;(source:Araport11)
AT3G28940	AT3G28940	AIG2B	AIG2-like (avirulence induced gene) family protein	AIG2-like (avirulence induced gene) family protein;(source:Araport11)
AT5G53750	AT5G53750		CBS domain-containing protein	CBS domain-containing protein;(source:Araport11)
AT4G36140	AT4G36140	SADR1-Paired 1	disease resistance protein (TIR-NBS-LRR class), putative	disease resistance protein (TIR-NBS-LRR class);(source:Araport11)
AT2G31010	AT2G31010	M3K&#952;1, RAF13	Protein kinase superfamily protein	Protein kinase superfamily protein;(source:Araport11)
AT5G46410	SSP4	SSP4	SCP1-like small phosphatase 4	SCP1-like small phosphatase 4;(source:Araport11)
AT4G16130	ARA1	ARA1, ATISA1, ISA1	arabinose kinase	arabinose kinase;(source:Araport11)
AT1G54100	ALDH7B4	ALDH7B4	aldehyde dehydrogenase 7B4	aldehyde dehydrogenase 7B4;(source:Araport11)
AT1G24148	AT1G24148	PROSCOOP33	NULL	hypothetical protein;(source:Araport11)
AT5G27770	AT5G27770	eL22y	Ribosomal L22e protein family	Ribosomal L22e protein family;(source:Araport11)
AT5G22740	CSLA02	ATCSLA02, ATCSLA2, CSLA02, CSLA2	cellulose synthase-like A02	cellulose synthase-like A02;(source:Araport11)
AT1G11310	MLO2	ATMLO2, MLO2, PMR2	Seven transmembrane MLO family protein	Seven transmembrane MLO family protein;(source:Araport11)
AT5G24530	DMR6	AtDMR6, DMR6	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein;(source:Araport11)
AT4G09320	NDPK1	ATNDK1, NDK1, NDPK1	Nucleoside diphosphate kinase family protein	nucleoside diphosphate kinase;(source:Araport11)
AT3G11070	AT3G11070		Outer membrane OMP85 family protein	Outer membrane OMP85 family protein;(source:Araport11)
AT3G61920	AT3G61920		NULL	UvrABC system protein C;(source:Araport11)
AT1G15580	IAA5	ATAUX2-27, AUX2-27, IAA5	indole-3-acetic acid inducible 5	indole-3-acetic acid inducible 5;(source:Araport11)
AT1G68840	RAV2	AtRAV2, EDF2, RAP2.8, RAV2, TEM2	related to ABI3/VP1 2	related to ABI3/VP1 2;(source:Araport11)
AT1G55730	CAX5	ATCAX5, CAX5	cation exchanger 5	cation exchanger 5;(source:Araport11)
AT2G18290	APC10	APC10, AtAPC10, EMB2783	anaphase promoting complex 10	anaphase promoting complex 10;(source:Araport11)
